Change ID,Node/tip label,Action,Notes,,Code book of changes made to original Glottolog tree to map languages to ones with Grambank feature values
1,Tunisian_Arabic,Dropped,Doesn't exist on Grambank,,
2,Moroccan_Arabic,Dropped,Doesn't exist on Grambank,,
3,Judeo-Moroccan_Arabic,Dropped,Doesn't exist on Grambank,,
4,Andalusian_Arabic,Dropped,Doesn't exist on Grambank,,
5,Algerian_Saharan_Arabic,Dropped,Doesn't exist on Grambank,,
6,Algerian_Arabic,Dropped,Doesn't exist on Grambank,,
7,Judeo-Tripolitanian_Arabic,Dropped,Doesn't exist on Grambank,,
8,Sudanese_Arabic,Dropped,Doesn't exist on Grambank,,
9,Saidi_Arabic,Dropped,Doesn't exist on Grambank,,
10,North_Mesopotamian_Arabic,Dropped,Doesn't exist on Grambank,,
11,Judeo-Iraqi_Arabic,Dropped,Doesn't exist on Grambank,,
12,Qashqa-Darya_Arabic,Dropped,Doesn't exist on Grambank,,
13,Khorasan_Arabic,Dropped,Doesn't exist on Grambank,,
14,Tajiki_Arabic,Dropped,Doesn't exist on Grambank,,
15,Gilit_Mesopotamian_Arabic,Dropped,Doesn't exist on Grambank,,
16,Ru'us_al-Jibal,Dropped,Doesn't exist on Grambank,,
17,Dhofari_Arabic,Dropped,Doesn't exist on Grambank,,
18,Omani_Arabic,Dropped,Doesn't exist on Grambank,,
19,Najdi_Arabic,Dropped,Doesn't exist on Grambank,,
20,Judeo-Yemeni_Arabic,Dropped,Doesn't exist on Grambank,,
21,Ta'izzi-Adeni_Arabic,Dropped,Doesn't exist on Grambank,,
22,Hijazi_Arabic,Dropped,Doesn't exist on Grambank,,
23,Hadrami_Arabic,Dropped,Doesn't exist on Grambank,,
24,Levantine_Arabic,"Renamed to ""North_Levantine_Arabic""",,,
25,South_Sudanese_Creole_Arabic,Dropped,Seems to be an outlier; as an Arabic-based creole expected to have more Arabic lexicon than grammatical features,,
26,Standard_Arabic,Dropped,Not a spoken Arabic dialect,,
